length_km,ideal,"tha[1.4 V, 200 ps]","dual_naive[1.4 V, 200 ps]","dual_aware[1.4 V, 200 ps]","tha[1.4 V, 1.6 ns]","dual_naive[1.4 V, 1.6 ns]","dual_aware[1.4 V, 1.6 ns]","tha[2.0 V, 1.6 ns]","dual_naive[2.0 V, 1.6 ns]","dual_aware[2.0 V, 1.6 ns]"
63.0,0.0053265015699029365,0.001126775542267252,0.005326472946390544,0.005326471631718416,0.0,0.005326268670586219,0.005326257973269192,0.0,0.0053259152400800865,0.0053258883080045194
64.0,0.005086399237036871,0.0009889400198505034,0.005086375431413618,0.005086374335363763,0.0,0.00508620553846142,0.005086196620040579,0.0,0.0050859115929716,0.00508588913953148
65.0,0.004857135394592921,0.000860928688947436,0.004857115595828591,0.004857114682145576,0.0,0.004856974298004673,0.004856966863481091,0.0,0.004856729825130978,0.004856711107618527
66.0,0.004638219439617841,0.0007422828632847276,0.004638202973225938,0.0046382022116464045,0.0,0.00463808545717446,0.0046380792602955636,0.0,0.004637882129877317,0.004637866528321508
67.0,0.004429183091053531,0.0006325650714910795,0.004429169396101428,0.004429168761366812,0.0,0.004429071658768325,0.004429066494016252,0.0,0.004428902551673256,0.004428889548646524
68.0,0.004229579364430439,0.0005313580147297954,0.0042295679744157304,0.004229567445450198,0.0,0.00422948668663432,0.004229482382508109,0.0,0.004229346040075082,0.004229335203802731
69.0,0.004038981594466044,0.00043826356877810235,0.004038972121421312,0.004038971680638718,0.0,0.004038904514443441,0.004038900927857154,0.0,0.004038787538238932,0.004038778508478823
70.0,0.0038569825032370966,0.00035290182795364675,0.0038569746245029394,0.003856974257234603,0.0,0.003856918395656898,0.0038569154072459044,0.0,0.0038568211059146593,0.0038568135821476627
71.0,0.0036831933117684795,0.00027491018841045896,0.0036831867590005844,0.003683186453011092,0.0,0.0036831399932231914,0.0036831375034258864,0.0,0.003683059076611709,0.0036830528081788693
72.0,0.0035172428929520754,0.00020394246837733283,0.003517237442977147,0.0035172371880618446,0.0,0.0035171985475607724,0.0035171964733439177,0.0,0.0035171312484374834,0.0035171260262920044
73.0,0.0033587769638227854,0.0001396680629840673,0.0033587724310341705,0.0033587722186831006,0.0,0.003358740081355224,0.0033587383534824707,0.0,0.003358684107894872,0.00335867975771788
74.0,0.0032074573153163645,8.177113137641014e-05,0.0032074535453479047,0.0032074533684664517,0.0,0.0032074266397483066,0.0032074252004878553,0.0,0.0032073800858587994,0.0032073764623092235
75.0,0.0030629610777319735,2.994981386612042e-05,0.0030629579422000695,0.0030629577948739412,0.0,0.0030629355644436,0.0030629343656696077,0.0,0.003062896844851758,0.0030628938267606783
76.0,0.0029249800202045405,0.0,0.0029249774123358773,0.002924977289633621,0.0,0.0029249588004014665,0.0029249578019940247,0.0,0.0029249265966455953,0.0029249240830057197
77.0,0.0027932198825687117,0.0,0.002793217713558193,0.0027932176113720925,0.0,0.002793202233682749,0.002793201402202126,0.0,0.0027931754492000254,0.002793173355824946
78.0,0.0026673997380914347,0.0,0.002667397934084331,0.0026673978489874213,0.0,0.0026673850591665367,0.0026673843667434764,0.0,0.002667362781951139,0.0026673610386757
79.0,0.0025472513856165443,0.0,0.0025472498851857213,0.0025472498143243646,0.0,0.0025472391768380236,0.002547238600249685,0.0,0.0025472206483754824,0.0025472191967283496
80.0,0.002432518769734809,0.0,0.002432517521791913,0.0024325174627880123,0.0,0.0024325086154104872,0.0024325081353024384,0.0,0.002432493204839729,0.002432491996097555
81.0,0.0023229574276521425,0.0,0.0023229563897079787,0.0023229563405792113,0.0,0.0023229489820464767,0.0023229485822964246,0.0,0.0023229361646781577,0.0023229351582468275
82.0,0.002218333961516025,0.0,0.0022183330982305125,0.0022183330573265006,0.0,0.002218326937082133,0.002218326604254632,0.0,0.0022183162765260617,0.0022183154385847594
83.0,0.002118425535008785,0.0,0.0021184248169895756,0.0021184247829354142,0.0,0.0021184196925899002,0.0021184194154944464,0.0,0.002118410825899074,0.002118410128271606
84.0,0.0020230193930441216,0.0,0.0020230187958465407,0.0020230187674961046,0.0,0.002023014533731499,0.0020230143030459968,0.0,0.002023007159038444,0.0020230065782540236
85.0,0.001931912403535627,0.0,0.0019319119068286323,0.0019319118832269414,0.0,0.0019319083618953366,0.0019319081698541437,0.0,0.0019319022281316896,0.0019319017446402578
86.0,0.0018449106201493034,0.0,0.0018449102070216153,0.0018449101873748922,0.0,0.0018449072585872688,0.0018449070987227839,0.0,0.0018449021569350661,0.0018449017544544903
87.0,0.0017618288651223128,0.0,0.0017618285215107753,0.0017618285051558718,0.0,0.0017618260691976398,0.001761825936125023,0.0,0.0017618218259816772,0.0017618214909506569
88.0,0.0016824903311564575,0.0,0.0016824900453618191,0.0016824900317493543,0.0,0.0016824880056889547,0.0016824878949209358,0.0,0.0016824844764561613,0.0016824841975824712
89.0,0.0016067262015496415,0.0,0.0016067259638448714,0.0016067259525135462,0.0,0.0016067242673747481,0.0016067241751764633,0.0,0.0016067213319853422,0.001606721099862271
90.0,0.0015343752876828425,0.0,0.0015343750899739154,0.0015343750805435537,0.0,0.0015343736789576428,0.0015343736022186668,0.0,0.0015343712374861094,0.0015343710442827089
91.0,0.0014652836830794755,0.0,0.0014652835186387218,0.0014652835107887886,0.0,0.0014652823450422795,0.0014652822811717099,0.0,0.0014652803143767365,0.0014652801535725332
92.0,0.0013993044332587697,0.0,0.0013993042964859097,0.0013993042899534069,0.0,0.0013993033203613377,0.001399303267202852,0.0,0.0013993016313774956,0.001399301497543241
93.0,0.0013362972206596494,0.0,0.0013362971069005051,0.0013362971014635678,0.0,0.0013362962950177054,0.0013362962507772187,0.0,0.0013362948902221176,0.0013362947788387945
94.0,0.001276128063928762,0.0,0.0012761279693104064,0.0012761279647860214,0.0,0.001276127294034951,0.001276127257216229,0.0,0.0012761261256083979,0.0012761260329117148
95.0,0.0012186690309233237,0.0,0.001218668952226009,0.0012186689484599787,0.0,0.0012186683905713782,0.001218668359929597,0.0,0.0012186674187413418,0.001218667341598187
