topology,n_requests,sampler,calibration,n_solver_runs,n_instances,mean_raw_feasible_read_rate,fraction_runs_with_any_feasible,mean_raw_request_conflicts,mean_raw_edge_violations,mean_raw_memory_violations,mean_raw_violation_count,mean_raw_overload_units,mean_raw_gap_on_feasible_runs_pct,mean_repaired_gap_pct,mean_B,mean_D,mean_B_ratio,mean_D_ratio,mean_sample_time_s
chain8_c4,24,sqa,resource_aware_per,450,90,0.6511111111111111,0.6511111111111111,0.36,0.09777777777777778,0.024444444444444446,0.4822222222222222,0.13333333333333333,24.263636640084055,23.997625183623803,3.1753366749096816,3.415760768796262,0.6556303565853671,0.7016422613487795,6.431768042241844
chain8_c4,8,sa,conventional,450,90,0.6577777777777778,0.6577777777777778,0.14222222222222222,0.2866666666666667,0.20444444444444446,0.6333333333333333,1.0888888888888888,99.24325335481119,88.71636130558196,3.7894908795200073,3.7894908795200073,1.0,1.0,0.06345345286361408
chain8_c4,8,sa,resource_aware,450,90,0.6622222222222223,0.6622222222222223,0.14,0.29333333333333333,0.20444444444444446,0.6377777777777778,1.0977777777777777,94.72143801761571,86.41929396593073,3.5340714705455976,3.5474635585282,0.9070630365015492,0.9139066843068383,0.06518938602595073
chain8_c4,8,sa,resource_aware_per,450,90,0.8066666666666666,0.8066666666666666,0.08444444444444445,0.14,0.057777777777777775,0.2822222222222222,0.34,83.50461271844968,77.40933579622407,1.5688745546283356,1.468233226907418,0.40654023231463504,0.3768605984844067,0.08670336896320804
chain8_c4,8,sqa,conventional,450,90,0.6933333333333334,0.6933333333333334,0.34,0.04,0.011111111111111112,0.39111111111111113,0.057777777777777775,25.71420423576043,22.880187868859025,3.7894908795200073,3.7894908795200073,1.0,1.0,6.2080776493601215
chain8_c4,8,sqa,resource_aware,450,90,0.7088888888888889,0.7088888888888889,0.32222222222222224,0.04,0.008888888888888889,0.3711111111111111,0.05555555555555555,22.89853589134848,20.890530707197307,3.5340714705455976,3.5474635585282,0.9070630365015492,0.9139066843068383,6.236890458243563
chain8_c4,8,sqa,resource_aware_per,450,90,0.7377777777777778,0.7377777777777778,0.26666666666666666,0.03333333333333333,0.017777777777777778,0.31777777777777777,0.10222222222222223,18.010113868614393,17.851566124107595,1.5688745546283356,1.468233226907418,0.40654023231463504,0.3768605984844067,6.228724459892967
grid3x3_c4,16,sa,conventional,450,90,0.22444444444444445,0.22444444444444445,0.7288888888888889,0.22444444444444445,0.8733333333333333,1.8266666666666667,2.8244444444444445,99.31244768090399,91.67832381625807,4.78370376294898,4.78370376294898,1.0,1.0,0.15196989270858466
grid3x3_c4,16,sa,resource_aware,450,90,0.22444444444444445,0.22444444444444445,0.7288888888888889,0.22444444444444445,0.8733333333333333,1.8266666666666667,2.8244444444444445,99.31244768090399,91.67832381625807,4.78370376294898,4.78370376294898,1.0,1.0,0.15132355998380162
grid3x3_c4,16,sa,resource_aware_per,450,90,0.24222222222222223,0.24222222222222223,0.7066666666666667,0.2311111111111111,0.7866666666666666,1.7244444444444444,2.588888888888889,95.13707030554878,89.18790564490575,3.184384111046758,3.5259556202726294,0.6682564589780735,0.73743299018285,0.15489105509949797
