topology,instance_seed,n_requests,calibration,sampler,reads,sweeps,solver_seed,independent_reads,n_samples,n_distinct_samples,raw_feasible_rate,any_raw_feasible,repaired_gap_pct
chain10_c6,13,16,conventional,sa,10,10000,101,True,10,10,0.5,1.0,52.35962480559284
chain10_c6,13,16,conventional,sa,10,10000,202,True,10,10,0.0,0.0,66.26369281670691
chain10_c6,13,16,conventional,sa,10,default,101,True,10,9,0.5,1.0,56.62438206062877
chain10_c6,13,16,conventional,sa,10,default,202,True,10,10,0.0,0.0,66.26369281670691
chain10_c6,13,16,conventional,sa,100,default,101,True,100,85,0.3,1.0,41.8078883568235
chain10_c6,13,16,conventional,sa,100,default,202,True,100,89,0.23,1.0,34.2377740943746
chain10_c6,13,16,resource_aware_per,sa,10,10000,101,True,10,10,0.5,1.0,33.95281105798981
chain10_c6,13,16,resource_aware_per,sa,10,10000,202,True,10,10,0.2,1.0,36.09299994893884
chain10_c6,13,16,resource_aware_per,sa,10,default,101,True,10,10,0.5,1.0,31.769775214166778
chain10_c6,13,16,resource_aware_per,sa,10,default,202,True,10,10,0.2,1.0,45.544423776063745
chain10_c6,13,16,resource_aware_per,sa,100,default,101,True,100,99,0.28,1.0,23.106090215646407
chain10_c6,13,16,resource_aware_per,sa,100,default,202,True,100,100,0.25,1.0,11.082094570613847
chain10_c6,13,24,conventional,sa,10,10000,101,True,10,10,0.1,1.0,79.63815270321389
chain10_c6,13,24,conventional,sa,10,10000,202,True,10,10,0.2,1.0,83.62675880812284
chain10_c6,13,24,conventional,sa,10,default,101,True,10,10,0.1,1.0,79.63815270321389
chain10_c6,13,24,conventional,sa,10,default,202,True,10,10,0.2,1.0,81.59786490470412
chain10_c6,13,24,conventional,sa,100,default,101,True,100,73,0.08,1.0,56.17169681579702
chain10_c6,13,24,conventional,sa,100,default,202,True,100,95,0.08,1.0,56.17169681579702
chain10_c6,13,24,resource_aware_per,sa,10,10000,101,True,10,10,0.5,1.0,33.49765724510289
chain10_c6,13,24,resource_aware_per,sa,10,10000,202,True,10,10,0.2,1.0,41.691029643401635
chain10_c6,13,24,resource_aware_per,sa,10,default,101,True,10,10,0.4,1.0,40.6151251367727
chain10_c6,13,24,resource_aware_per,sa,10,default,202,True,10,10,0.1,1.0,40.85236042169751
chain10_c6,13,24,resource_aware_per,sa,100,default,101,True,100,100,0.34,1.0,17.424431805059918
chain10_c6,13,24,resource_aware_per,sa,100,default,202,True,100,100,0.32,1.0,13.864556345335002
chain10_c6,14,8,conventional,sa,10,10000,101,True,10,9,0.0,0.0,16.715253179290652
chain10_c6,14,8,conventional,sa,10,10000,202,True,10,9,0.0,0.0,33.52846443510717
chain10_c6,14,8,conventional,sa,10,default,101,True,10,9,0.0,0.0,16.715253179290652
chain10_c6,14,8,conventional,sa,10,default,202,True,10,9,0.1,1.0,33.52846443510717
chain10_c6,14,8,conventional,sa,100,default,101,True,100,69,0.12,1.0,16.715253179290652
chain10_c6,14,8,conventional,sa,100,default,202,True,100,78,0.13,1.0,7.489330683797948
chain10_c6,14,8,resource_aware_per,sa,10,10000,101,True,10,10,0.4,1.0,9.503781205497887
chain10_c6,14,8,resource_aware_per,sa,10,10000,202,True,10,10,0.4,1.0,14.560243209628657
chain10_c6,14,8,resource_aware_per,sa,10,default,101,True,10,10,0.3,1.0,27.140736032391658
chain10_c6,14,8,resource_aware_per,sa,10,default,202,True,10,10,0.4,1.0,28.611173546463665
chain10_c6,14,8,resource_aware_per,sa,100,default,101,True,100,100,0.45,1.0,7.489330683797948
chain10_c6,14,8,resource_aware_per,sa,100,default,202,True,100,99,0.38,1.0,27.545601722995105
chain10_c6,14,16,conventional,sa,10,10000,101,True,10,9,0.2,1.0,78.56835350749988
chain10_c6,14,16,conventional,sa,10,10000,202,True,10,7,0.1,1.0,55.20049959635154
chain10_c6,14,16,conventional,sa,10,default,101,True,10,8,0.2,1.0,78.56835350749988
chain10_c6,14,16,conventional,sa,10,default,202,True,10,7,0.0,0.0,55.20049959635154
chain10_c6,14,16,conventional,sa,100,default,101,True,100,60,0.11,1.0,49.808113765918755
chain10_c6,14,16,conventional,sa,100,default,202,True,100,60,0.14,1.0,46.31262885199332
chain10_c6,14,16,resource_aware_per,sa,10,10000,101,True,10,10,0.5,1.0,58.226960829791786
chain10_c6,14,16,resource_aware_per,sa,10,10000,202,True,10,10,0.3,1.0,12.90258676451396
chain10_c6,14,16,resource_aware_per,sa,10,default,101,True,10,10,0.3,1.0,56.38682762258806
chain10_c6,14,16,resource_aware_per,sa,10,default,202,True,10,9,0.3,1.0,56.9637833851314
chain10_c6,14,16,resource_aware_per,sa,100,default,101,True,100,98,0.42,1.0,30.44489060658779
chain10_c6,14,16,resource_aware_per,sa,100,default,202,True,100,96,0.52,1.0,42.6458597004152
chain10_c6,14,24,conventional,sa,10,10000,101,True,10,9,0.0,0.0,70.52647024107286
chain10_c6,14,24,conventional,sa,10,10000,202,True,10,9,0.1,1.0,81.59292835218432
chain10_c6,14,24,conventional,sa,10,default,101,True,10,9,0.0,0.0,70.52647024107286
chain10_c6,14,24,conventional,sa,10,default,202,True,10,9,0.1,1.0,81.59292835218432
chain10_c6,14,24,conventional,sa,100,default,101,True,100,58,0.01,1.0,66.63305309175956
chain10_c6,14,24,conventional,sa,100,default,202,True,100,55,0.07,1.0,65.71147861054985
chain10_c6,14,24,resource_aware_per,sa,10,10000,101,True,10,10,0.5,1.0,30.057276246776777
