topology,instance,instance_seed,n_requests,n_bundles,A_conventional,B_conventional,D_conventional,A_resource_aware,B_resource_aware,D_resource_aware,B_ratio,D_ratio,B_per_resource_mean,B_per_resource_min,B_per_resource_max,B_per_resource_n,D_per_resource_mean,D_per_resource_min,D_per_resource_max,D_per_resource_n,B_ratio_per,D_ratio_per,B_tighter,D_tighter,B_n_tightened,D_n_tightened
chain8_c4,req24,26,24,31,3.96315396315,3.96315396315,3.96315396315,3.96315396315,3.96315396315,3.96315396315,1.0,1.0,3.0043400488642855,0.6645164631499997,3.96315396315,7,3.12532185065,3.9631499999999995e-06,3.96315396315,8,0.75806796223389,0.7885946091697954,False,False,6,6
chain8_c4,req8,27,8,13,3.3738113738080004,3.3738113738080004,3.3738113738080004,3.3738113738080004,1.6077198988079995,1.6077198988079995,0.47652927821906527,0.47652927821906527,0.5450966974227356,3.373808e-06,1.6077198988079995,7,0.3400704170158616,3.373808e-06,1.6077198988079995,8,0.16156703414260182,0.10079710432418934,True,True,7,8
chain8_c4,req16,27,16,27,5.41475541475,5.41475541475,5.41475541475,5.41475541475,5.41475541475,5.41475541475,1.0,1.0,1.9700580666103191,0.017509672401575093,5.41475541475,7,2.366002707430599,5.414749999999999e-06,5.41475541475,8,0.363831404322309,0.4369546777654107,False,False,6,6
chain8_c4,req24,27,24,49,5.41475541475,5.41475541475,5.41475541475,5.41475541475,5.41475541475,5.41475541475,1.0,1.0,3.815387443321428,3.00997291475,5.41475541475,7,4.179284377249999,3.07499741475,5.41475541475,8,0.7046278457801006,0.7718325311362115,False,False,6,6
chain8_c4,req8,28,8,19,4.9726724726675,4.9726724726675,4.9726724726675,4.9726724726675,4.9726724726675,4.9726724726675,1.0,1.0,2.467417196549642,4.9726675e-06,4.9726724726675,7,2.420899424189374,4.9726675e-06,4.9726724726675,8,0.4961953979699855,0.48684071542936885,False,False,6,6
chain8_c4,req16,28,16,31,4.9726724726675,4.9726724726675,4.9726724726675,4.9726724726675,4.9726724726675,4.9726724726675,1.0,1.0,3.4974221458353556,2.2117909398424986,4.9726724726675,7,3.135599179386249,4.9726675e-06,4.9726724726675,8,0.7033284747907853,0.6305661988842417,False,False,6,6
chain8_c4,req24,28,24,40,5.679691679686001,5.679691679686001,5.679691679686001,5.679691679686001,5.679691679686001,5.679691679686001,1.0,1.0,4.200503166828856,3.361957189685999,5.679691679686001,7,4.1502225656234994,0.8404935571859997,5.679691679686001,8,0.739565350325685,0.7307126512636585,False,False,6,6
chain8_c4,req8,29,8,15,4.485255485251,4.485255485251,4.485255485251,4.485255485251,4.485255485251,4.485255485251,1.0,1.0,1.7793880566795715,4.485250999999999e-06,4.485255485251,7,2.531259422751,4.485250999999999e-06,4.485255485251,8,0.39671944274541027,0.5643512239324195,False,False,6,6
chain8_c4,req16,29,16,26,4.485255485251,4.485255485251,4.485255485251,4.485255485251,4.485255485251,4.485255485251,1.0,1.0,1.905702821390328,4.485250999999999e-06,4.485255485251,7,2.6291851715009997,4.485250999999999e-06,4.485255485251,8,0.4248816656390941,0.5861840379319814,False,False,6,6
chain8_c4,req24,29,24,39,5.561815561810001,5.561815561810001,5.561815561810001,5.561815561810001,5.561815561810001,5.561815561810001,1.0,1.0,3.0969847447028576,5.561810000000001e-06,5.561815561810001,7,3.4050885968412503,5.561810000000001e-06,5.561815561810001,8,0.5568298175811848,0.6122260903835366,False,False,6,6
chain8_c4,req8,30,8,24,5.094130094125,5.094130094125,5.094130094125,5.094130094125,5.094130094125,5.094130094125,1.0,1.0,4.071187399125,3.0091982341249994,5.094130094125,6,3.28292805975,5.094125e-06,5.094130094125,8,0.7991918784760232,0.6444531252816182,False,False,5,6
chain8_c4,req16,30,16,36,5.094130094125,5.094130094125,5.094130094125,5.094130094125,5.094130094125,5.094130094125,1.0,1.0,3.6093172984107142,0.8380966941250001,5.094130094125,7,3.690157447875,5.094125e-06,5.094130094125,8,0.7085247592269576,0.7243940338568924,False,False,6,6
chain8_c4,req24,30,24,43,5.094130094125,5.094130094125,5.094130094125,5.094130094125,5.094130094125,5.094130094125,1.0,1.0,4.168212498410715,3.0091982341249994,5.094130094125,7,3.741446660375,5.094125e-06,5.094130094125,8,0.8182383294878678,0.7344623304163288,False,False,6,6
chain8_c4,req8,31,8,13,4.44138444138,4.44138444138,4.44138444138,4.44138444138,4.44138444138,4.44138444138,1.0,1.0,2.7608793080466665,1.9206267413799998,4.44138444138,3,2.82088891013,0.48016001637999994,4.44138444138,4,0.6216258341259067,0.6351372972463312,False,False,2,2
chain8_c4,req16,31,16,22,4.44138444138,4.44138444138,4.44138444138,4.44138444138,4.44138444138,4.44138444138,1.0,1.0,1.3804418747133334,4.441380000000001e-06,4.44138444138,6,1.817719384237143,4.441380000000001e-06,4.44138444138,7,0.31081341706245336,0.4092686431963886,False,False,5,5
chain8_c4,req24,31,24,33,6.02294602294,6.02294602294,6.02294602294,6.02294602294,6.02294602294,6.02294602294,1.0,1.0,1.9212667186916668,6.02294e-06,6.02294602294,7,2.4339766317227083,6.02294e-06,6.02294602294,8,0.3189911899216777,0.40411729118146794,False,False,6,6
chain8_c4,req8,32,8,15,3.9935063435023497,3.9935063435023497,3.9935063435023497,3.9935063435023497,3.9935063435023497,3.9935063435023497,1.0,1.0,2.6168441265273494,3.993502349999999e-06,3.9935063435023497,6,2.789013424216635,3.993502349999999e-06,3.9935063435023497,7,0.6552748140202898,0.6983871275813822,False,False,4,4
