topology,instance,instance_seed,solver_seed,n_requests,n_bundles,bqm_variables,sampler,calibration,coefficient_scale,A,B,B_min,B_max,B_n,C,D,D_min,D_max,D_n,E,B_ratio,D_ratio,B_tighter,D_tighter,oracle_utility,oracle_optimal,oracle_status,compile_time_s,sample_time_s,n_reads,raw_feasible_rate,raw_mean_request_conflicts,raw_mean_edge_violations,raw_mean_memory_violations,raw_mean_violation_count,raw_mean_overload_units,raw_best_feasible_utility,repaired_best_utility,found_feasible,raw_optimality_gap_pct,repaired_optimality_gap_pct
chain8_c4,req8,10,303,8,15,65,sa,resource_aware_per,1.0,2.16176216176,1.2587432784266663,2.16176e-06,2.16176216176,6,0.0,0.8605506414474999,2.16176e-06,2.16176216176,8,0.0,1.0,1.0,False,False,7.752269849999999,True,OPTIMAL,0.0019102919904980808,0.08835000000544824,100,1.0,0.0,0.0,0.0,0.0,0.0,0.43494569888810886,0.43494569888810886,True,94.38944067603492,94.38944067603492
chain8_c4,req8,10,404,8,15,65,sa,resource_aware_per,1.0,2.16176216176,1.2587432784266663,2.16176e-06,2.16176216176,6,0.0,0.8605506414474999,2.16176e-06,2.16176216176,8,0.0,1.0,1.0,False,False,7.752269849999999,True,OPTIMAL,0.0019102919904980808,0.0884129999903962,100,0.0,0.0,1.0,0.0,1.0,1.0,nan,4.370166125877818,False,nan,43.62727032937562
chain8_c4,req8,10,505,8,15,65,sa,resource_aware_per,1.0,2.16176216176,1.2587432784266663,2.16176e-06,2.16176216176,6,0.0,0.8605506414474999,2.16176e-06,2.16176216176,8,0.0,1.0,1.0,False,False,7.752269849999999,True,OPTIMAL,0.0019102919904980808,0.08943791699130088,100,0.0,0.0,1.0,0.0,1.0,1.0,nan,3.6638772603006577,False,nan,52.73800665877675
chain8_c4,req8,10,101,8,15,65,sqa,resource_aware_per,1.0,2.16176216176,1.2587432784266663,2.16176e-06,2.16176216176,6,0.0,0.8605506414474999,2.16176e-06,2.16176216176,8,0.0,1.0,1.0,False,False,7.752269849999999,True,OPTIMAL,0.0019102919904980808,5.872909249999793,100,1.0,0.0,0.0,0.0,0.0,0.0,6.1467569624479985,6.1467569624479985,True,20.71022963102866,20.71022963102866
chain8_c4,req8,10,202,8,15,65,sqa,resource_aware_per,1.0,2.16176216176,1.2587432784266663,2.16176e-06,2.16176216176,6,0.0,0.8605506414474999,2.16176e-06,2.16176216176,8,0.0,1.0,1.0,False,False,7.752269849999999,True,OPTIMAL,0.0019102919904980808,6.075994125014404,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,7.385688429381801,False,nan,4.728697887344545
chain8_c4,req8,10,303,8,15,65,sqa,resource_aware_per,1.0,2.16176216176,1.2587432784266663,2.16176e-06,2.16176216176,6,0.0,0.8605506414474999,2.16176e-06,2.16176216176,8,0.0,1.0,1.0,False,False,7.752269849999999,True,OPTIMAL,0.0019102919904980808,6.0943132500106,100,1.0,0.0,0.0,0.0,0.0,0.0,7.199423089999998,7.199423089999999,True,7.131417903364153,7.131417903364142
chain8_c4,req8,10,404,8,15,65,sqa,resource_aware_per,1.0,2.16176216176,1.2587432784266663,2.16176e-06,2.16176216176,6,0.0,0.8605506414474999,2.16176e-06,2.16176216176,8,0.0,1.0,1.0,False,False,7.752269849999999,True,OPTIMAL,0.0019102919904980808,6.222466000006534,100,1.0,0.0,0.0,0.0,0.0,0.0,7.7522698499999985,7.752269849999999,True,1.1457011132037996e-14,0.0
chain8_c4,req8,10,505,8,15,65,sqa,resource_aware_per,1.0,2.16176216176,1.2587432784266663,2.16176e-06,2.16176216176,6,0.0,0.8605506414474999,2.16176e-06,2.16176216176,8,0.0,1.0,1.0,False,False,7.752269849999999,True,OPTIMAL,0.0019102919904980808,6.41995991699514,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,7.385688429381801,False,nan,4.728697887344545
chain8_c4,req16,10,101,16,25,78,sa,conventional,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.001871666987426579,0.07758095799363218,100,0.0,0.0,2.0,1.0,3.0,5.0,nan,3.6620591142201415,False,nan,78.28454790957733
chain8_c4,req16,10,202,16,25,78,sa,conventional,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.001871666987426579,0.07458891600253992,100,0.0,0.0,1.0,0.0,1.0,1.0,nan,1.747676390351491,False,nan,89.636545522471
chain8_c4,req16,10,303,16,25,78,sa,conventional,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.001871666987426579,0.07462716699228622,100,1.0,0.0,0.0,0.0,0.0,0.0,-1.1814865579544596,-1.1814865579544596,True,107.00603511426446,107.00603511426446
chain8_c4,req16,10,404,16,25,78,sa,conventional,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.001871666987426579,0.07481087499763817,100,1.0,0.0,0.0,0.0,0.0,0.0,1.3325536915216558,1.332553691521656,True,92.09815982112656,92.09815982112656
chain8_c4,req16,10,505,16,25,78,sa,conventional,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.001871666987426579,0.07589654199546203,100,0.0,0.0,1.0,0.0,1.0,2.0,nan,4.8340472678325614,False,nan,71.33483688457297
chain8_c4,req16,10,101,16,25,78,sqa,conventional,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.001871666987426579,6.062637166003697,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,10.84286608479956,False,nan,35.70345763315843
chain8_c4,req16,10,202,16,25,78,sqa,conventional,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.001871666987426579,6.061285375006264,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,14.88021931418136,False,nan,11.762568671450824
chain8_c4,req16,10,303,16,25,78,sqa,conventional,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.001871666987426579,6.076579082990065,100,1.0,0.0,0.0,0.0,0.0,0.0,9.169954168795577,9.169954168795577,True,45.62357017924385,45.62357017924385
chain8_c4,req16,10,404,16,25,78,sqa,conventional,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.001871666987426579,6.101162583014229,100,1.0,0.0,0.0,0.0,0.0,0.0,11.73714288879956,11.73714288879956,True,30.400532560914247,30.400532560914247
chain8_c4,req16,10,505,16,25,78,sqa,conventional,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.001871666987426579,6.109835208015284,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,12.847572546496014,False,nan,23.81585402914049
chain8_c4,req16,10,101,16,25,78,sa,resource_aware,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.003452957986155525,0.0780355829920154,100,0.0,0.0,2.0,1.0,3.0,5.0,nan,3.6620591142201415,False,nan,78.28454790957733
